fix,lat,lon
10274,34.750314,-113.872969
10275,34.292986,-114.000775
10276,34.159628,-114.000775
10277,35.513433,-113.955422
10282,34.271194,-112.305108
10284,32.553928,-111.369139
10287,35.316194,-111.314250
10288,33.218900,-108.163714
10290,33.546422,-108.066383
10291,31.849742,-106.735547
10292,32.283731,-106.898700
10293,34.146203,-107.055367
10295,34.400147,-106.988281
10296,34.741833,-106.314519
10297,34.948911,-106.051519
10298,35.788361,-106.499889
10299,35.862158,-107.423908
10300,35.866519,-107.407075
10302,36.134686,-106.350556
10306,35.093583,-105.866556
10307,36.480006,-104.920667
10308,36.127742,-106.378503
1030N,10.000000,-030.000000
10310,30.878878,-102.260633
10311,31.888375,-103.623131
10312,32.583972,-103.904139
10313,34.494139,-102.868806
10314,34.498556,-102.861917
10315,36.450806,-102.825806
10316,36.739217,-101.939500
10317,36.738694,-103.099278
10318,36.767578,-103.043094
10319,36.757028,-103.116806
10320,37.158611,-102.274028
10321,37.028889,-103.377667
10322,37.355181,-102.432994
10323,34.460933,-102.507703
10324,34.516944,-101.206917
10325,34.746306,-100.447667
10326,35.302528,-100.021028
10328,36.004222,-100.447417
10330,34.398039,-109.824772
10331,36.902436,-102.069339
10332,34.761750,-101.373556
10333,34.868361,-100.755694
10334,34.951414,-100.259894
10335,31.087303,-101.091000
10338,35.827628,-099.587161
10339,35.818822,-098.650803
1033N,10.000000,-033.000000
10340,35.744128,-098.479572
10341,35.657797,-099.126453
10345,31.385078,-099.310775
10346,31.390583,-098.202222
1034N,10.000000,-034.000000
10353,31.887556,-097.961444
10354,31.434444,-096.070056
10355,31.299083,-096.431861
10356,31.206583,-097.362444
10357,35.917750,-095.909944
10358,35.863569,-097.840883
1035N,10.000000,-035.000000
10360,35.476922,-097.357811
10362,35.516178,-095.000231
10363,35.062819,-094.997956
10366,33.396444,-094.691583
10369,31.563917,-094.357278
10370,31.485786,-095.692536
10371,34.128300,-093.727878
10373,33.894667,-093.083472
10375,33.507919,-092.564628
10376,32.638442,-091.792444
10377,31.559194,-093.319611
10378,35.204111,-098.663258
10381,30.474639,-098.862472
10384,28.441522,-098.147339
10390,30.591750,-096.169444
10392,31.255789,-092.962322
10393,31.646972,-090.261172
10394,30.736600,-091.676281
10397,31.628639,-089.825242
10398,31.518828,-088.111256
10399,31.211036,-089.493817
10400,31.050067,-088.258422
10403,30.966486,-087.651958
10404,30.767908,-087.700211
10405,28.821889,-088.008056
10406,28.697764,-088.006572
10408,40.182694,-096.288789
10409,39.979250,-096.400667
10413,42.595064,-095.244883
10414,42.435397,-095.019350
10415,41.976456,-094.380717
10416,41.819542,-095.371608
10417,41.832097,-095.430639
10418,41.435056,-095.587778
10419,41.050719,-095.803033
10420,41.066528,-095.681639
10421,40.210472,-095.220972
10425,42.571086,-093.432428
10426,41.327111,-093.506278
10427,41.303611,-093.718389
10429,40.645083,-092.637861
10430,42.961761,-091.490336
10432,43.130203,-091.321883
10433,43.523639,-090.925044
10434,43.752306,-090.695694
10435,44.154658,-089.902681
10437,44.186753,-089.356839
10440,40.613708,-091.228286
10441,40.305347,-090.476486
10444,42.453528,-088.736389
10445,42.287361,-088.847917
10447,42.073833,-088.990319
10448,41.579972,-088.036222
10449,41.546250,-088.040611
10450,41.168781,-088.540786
10451,41.169750,-088.089306
10452,40.797978,-088.756397
10453,40.001086,-088.438003
10454,44.341653,-088.208436
10457,41.604833,-087.822972
10458,41.545639,-087.810750
10459,41.626861,-087.631083
1045S,-10.000000,045.000000
10460,41.544583,-087.587194
10461,41.366306,-087.492556
10462,41.169250,-087.733500
10463,41.167728,-087.387253
10466,40.000036,-087.443819
10467,43.489917,-085.852444
10471,43.209028,-085.922778
10472,43.170528,-085.932389
10473,43.231753,-085.000011
10474,43.089000,-085.000000
10475,42.793864,-085.492850
10476,42.707556,-085.000000
10477,42.611639,-085.000000
10478,42.447333,-085.000000
10479,42.037722,-085.000000
10480,41.778417,-084.759667
10481,41.919583,-084.867333
10483,41.483806,-084.734000
